,Year,coder1-encodings,Consistency,X,Y
79,2015,Area,1,29,1
80,2015,Area,1,30,1
81,2020,Area,0,31,1
82,2020,Area,0,32,1
83,2020,Area,0,33,1
84,2020,Area,1,34,1
85,2020,Area,1,35,1
86,2020,Area,1,36,1
87,2020,Area,1,37,1
88,2020,Area,1,38,1
89,2020,Area,1,39,1
90,2020,Area,1,40,1
91,2020,Area,1,41,1
92,2020,Area,1,42,1
93,2020,Area,1,43,1
94,2020,Area,1,44,1
95,2020,Area,1,45,1
96,2020,Area,1,46,1
97,2020,Area,1,47,1
98,2020,Area,1,48,1
99,2020,Area,1,49,1
100,2020,Area,1,0,2
101,2020,Area,1,1,2
102,2020,Area,1,2,2
103,2020,Area,1,3,2
104,1990,Bar,1,99,0
105,1995,Bar,0,104,0
106,1995,Bar,1,105,0
107,1995,Bar,1,106,0
108,1995,Bar,1,107,0
109,1995,Bar,1,108,0
110,1995,Bar,1,109,0
111,1995,Bar,1,110,0
112,1995,Bar,1,111,0
113,1995,Bar,1,112,0
114,2000,Bar,0,113,0
115,2000,Bar,1,114,0
116,2000,Bar,1,115,0
117,2000,Bar,1,116,0
118,2000,Bar,1,117,0
119,2000,Bar,1,118,0
120,2000,Bar,1,119,0
121,2000,Bar,1,120,0
122,2000,Bar,1,121,0
